,Time,Status
0,0 days 00:00:08.220000,Inactive
1,0 days 00:15:00.145000,Started
2,0 days 00:18:59.238000,Aborted
3,0 days 00:28:25.233000,Inactive
4,0 days 00:30:00.138000,Started
5,0 days 00:34:39.927000,Aborted
6,0 days 00:42:18.255000,Inactive
7,0 days 00:44:00.148000,Started
8,0 days 00:53:22.137000,Finished
9,0 days 00:59:16.449000,Inactive
10,0 days 01:01:00.140000,Started
11,0 days 01:14:31.340000,Aborted
12,0 days 01:17:25.233000,Finished
13,0 days 01:22:11.125000,Inactive
14,0 days 01:24:00.143000,Started
15,0 days 01:35:59.318000,Aborted
16,0 days 01:39:16.228000,Finalised
17,0 days 01:51:44.036000,Ends
