,17
RoundNumber,18
Country,United States
Location,Austin
OfficialEventName,FORMULA 1 PIRELLI 2018 UNITED STATES GRAND PRIX
EventDate,2018-10-21 00:00:00
EventName,United States Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-10-19 10:00:00-05:00
Session1DateUtc,2018-10-19 15:00:00
Session2,Practice 2
Session2Date,2018-10-19 14:00:00-05:00
Session2DateUtc,2018-10-19 19:00:00
Session3,Practice 3
Session3Date,2018-10-20 13:00:00-05:00
Session3DateUtc,2018-10-20 18:00:00
Session4,Qualifying
Session4Date,2018-10-20 16:00:00-05:00
Session4DateUtc,2018-10-20 21:00:00
Session5,Race
Session5Date,2018-10-21 13:10:00-05:00
Session5DateUtc,2018-10-21 18:10:00
F1ApiSupport,True
