,18
RoundNumber,19
Country,Mexico
Location,Mexico City
OfficialEventName,FORMULA 1 GRAN PREMIO DE MÉXICO 2018
EventDate,2018-10-28 00:00:00
EventName,Mexican Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-10-26 10:00:00-06:00
Session1DateUtc,2018-10-26 16:00:00
Session2,Practice 2
Session2Date,2018-10-26 14:00:00-06:00
Session2DateUtc,2018-10-26 20:00:00
Session3,Practice 3
Session3Date,2018-10-27 10:00:00-06:00
Session3DateUtc,2018-10-27 16:00:00
Session4,Qualifying
Session4Date,2018-10-27 13:00:00-06:00
Session4DateUtc,2018-10-27 19:00:00
Session5,Race
Session5Date,2018-10-28 13:10:00-06:00
Session5DateUtc,2018-10-28 19:10:00
F1ApiSupport,True
