,18
RoundNumber,18
Country,Singapore
Location,Marina Bay
OfficialEventName,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025
EventDate,2025-10-05 00:00:00
EventName,Singapore Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-10-03 17:30:00+08:00
Session1DateUtc,2025-10-03 09:30:00
Session2,Practice 2
Session2Date,2025-10-03 21:00:00+08:00
Session2DateUtc,2025-10-03 13:00:00
Session3,Practice 3
Session3Date,2025-10-04 17:30:00+08:00
Session3DateUtc,2025-10-04 09:30:00
Session4,Qualifying
Session4Date,2025-10-04 21:00:00+08:00
Session4DateUtc,2025-10-04 13:00:00
Session5,Race
Session5Date,2025-10-05 20:00:00+08:00
Session5DateUtc,2025-10-05 12:00:00
F1ApiSupport,True
