,Time,Status
0,0 days 00:00:08.064000,Inactive
1,0 days 00:54:57.735000,Started
2,0 days 02:35:20.249000,Finished
3,0 days 02:40:40.947000,Finalised
4,0 days 02:40:42.852000,Ends
