,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:45.873000,25.7,56.0,1010.7,False,49.2,284,0.8
1,0 days 00:01:45.871000,25.8,54.0,1010.7,False,50.1,264,0.8
2,0 days 00:02:45.872000,25.8,55.0,1010.7,False,49.5,322,0.8
3,0 days 00:03:45.884000,25.8,55.0,1010.5,False,48.9,172,1.0
4,0 days 00:04:45.872000,25.7,55.0,1010.7,False,48.8,174,0.8
5,0 days 00:05:45.884000,25.8,54.0,1010.7,False,48.9,322,0.6
6,0 days 00:06:45.873000,25.5,55.0,1010.7,False,48.9,331,1.5
7,0 days 00:07:45.871000,25.5,56.0,1010.7,False,48.8,66,1.1
8,0 days 00:08:45.870000,25.5,56.0,1010.5,False,48.8,293,0.8
9,0 days 00:09:45.872000,25.7,54.0,1010.7,False,48.8,274,1.3
10,0 days 00:10:45.878000,25.7,54.0,1010.5,False,49.4,279,1.5
11,0 days 00:11:45.874000,25.6,53.0,1010.5,False,50.1,273,1.6
12,0 days 00:12:45.874000,25.8,52.0,1010.5,False,50.1,280,1.3
13,0 days 00:13:45.874000,25.8,53.0,1010.5,False,50.3,287,2.2
14,0 days 00:14:45.874000,25.6,56.0,1010.5,False,49.9,272,1.8
15,0 days 00:15:45.872000,25.6,56.0,1010.5,False,50.2,216,1.6
16,0 days 00:16:45.874000,25.5,56.0,1010.5,False,50.2,271,1.8
17,0 days 00:17:45.881000,25.4,58.0,1010.5,False,49.4,279,1.0
18,0 days 00:18:45.886000,25.5,56.0,1010.4,False,49.4,293,0.8
19,0 days 00:19:45.874000,25.4,56.0,1010.5,False,49.8,280,0.6
20,0 days 00:20:45.874000,25.3,55.0,1010.5,False,50.0,324,1.2
21,0 days 00:21:45.905000,25.4,54.0,1010.4,False,49.6,281,1.0
22,0 days 00:22:45.878000,25.5,54.0,1010.4,False,50.5,248,2.0
23,0 days 00:23:45.874000,25.5,56.0,1010.5,False,50.5,189,1.7
24,0 days 00:24:45.878000,25.7,55.0,1010.5,False,50.5,273,0.8
25,0 days 00:25:45.875000,25.7,55.0,1010.4,False,50.9,0,0.6
26,0 days 00:26:45.873000,25.8,55.0,1010.5,False,50.9,283,0.8
27,0 days 00:27:45.873000,25.7,53.0,1010.5,False,49.4,164,1.1
28,0 days 00:28:45.866000,25.8,53.0,1010.4,False,49.4,109,0.6
