,DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps
44,44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,1.0,,,0 days 00:01:08.464000,0 days 00:01:07.795000,0 days 00:01:07.281000,,,,
5,5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,2.0,,,0 days 00:01:08.452000,0 days 00:01:07.776000,0 days 00:01:07.374000,,,,
77,77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,3.0,,,0 days 00:01:08.492000,0 days 00:01:07.727000,0 days 00:01:07.441000,,,,
7,7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,4.0,,,0 days 00:01:08.452000,0 days 00:01:08.028000,0 days 00:01:07.456000,,,,
33,33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,5.0,,,0 days 00:01:08.205000,0 days 00:01:08.017000,0 days 00:01:07.778000,,,,
3,3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,6.0,,,0 days 00:01:08.544000,0 days 00:01:08.055000,0 days 00:01:07.780000,,,,
9,9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,7.0,,,0 days 00:01:08.754000,0 days 00:01:08.579000,0 days 00:01:08.296000,,,,
16,16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,8.0,,,0 days 00:01:08.667000,0 days 00:01:08.335000,0 days 00:01:08.492000,,,,
8,8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,9.0,,,0 days 00:01:08.735000,0 days 00:01:08.239000,0 days 00:01:08.517000,,,,
10,10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,10.0,,,0 days 00:01:09.046000,0 days 00:01:08.616000,0 days 00:01:09.029000,,,,
20,20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,11.0,,,0 days 00:01:08.474000,0 days 00:01:08.659000,,,,,
11,11,S PEREZ,PER,perez,Racing Point,f596c8,force_india,Sergio,Perez,Sergio Perez,,,12.0,,,0 days 00:01:09.217000,0 days 00:01:08.741000,,,,,
31,31,E OCON,OCO,ocon,Racing Point,f596c8,force_india,Esteban,Ocon,Esteban Ocon,,,13.0,,,0 days 00:01:09.264000,0 days 00:01:08.770000,,,,,
27,27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,14.0,,,0 days 00:01:09.009000,0 days 00:01:08.834000,,,,,
35,35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,15.0,,,0 days 00:01:09.259000,0 days 00:01:10.381000,,,,,
55,55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,16.0,,,0 days 00:01:09.269000,,,,,,
28,28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,17.0,,,0 days 00:01:09.280000,,,,,,
14,14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,18.0,,,0 days 00:01:09.402000,,,,,,
18,18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,19.0,,,0 days 00:01:09.441000,,,,,,
2,2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,20.0,,,0 days 00:01:09.601000,,,,,,
