,10
RoundNumber,11
Country,Germany
Location,Hockenheim
OfficialEventName,FORMULA 1 MERCEDES-BENZ GROSSER PREIS VON DEUTSCHLAND 2019
EventDate,2019-07-28 00:00:00
EventName,German Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-07-26 11:00:00+02:00
Session1DateUtc,2019-07-26 09:00:00
Session2,Practice 2
Session2Date,2019-07-26 15:00:00+02:00
Session2DateUtc,2019-07-26 13:00:00
Session3,Practice 3
Session3Date,2019-07-27 12:00:00+02:00
Session3DateUtc,2019-07-27 10:00:00
Session4,Qualifying
Session4Date,2019-07-27 15:00:00+02:00
Session4DateUtc,2019-07-27 13:00:00
Session5,Race
Session5Date,2019-07-28 15:10:00+02:00
Session5DateUtc,2019-07-28 13:10:00
F1ApiSupport,True
