,6
RoundNumber,7
Country,Canada
Location,Montréal
OfficialEventName,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018
EventDate,2018-06-10 00:00:00
EventName,Canadian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-06-08 10:00:00-04:00
Session1DateUtc,2018-06-08 14:00:00
Session2,Practice 2
Session2Date,2018-06-08 14:00:00-04:00
Session2DateUtc,2018-06-08 18:00:00
Session3,Practice 3
Session3Date,2018-06-09 11:00:00-04:00
Session3DateUtc,2018-06-09 15:00:00
Session4,Qualifying
Session4Date,2018-06-09 14:00:00-04:00
Session4DateUtc,2018-06-09 18:00:00
Session5,Race
Session5Date,2018-06-10 14:10:00-04:00
Session5DateUtc,2018-06-10 18:10:00
F1ApiSupport,True
