,6
RoundNumber,6
Country,Azerbaijan
Location,Baku
OfficialEventName,FORMULA 1 AZERBAIJAN GRAND PRIX 2021
EventDate,2021-06-06 00:00:00
EventName,Azerbaijan Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-06-04 12:30:00+04:00
Session1DateUtc,2021-06-04 08:30:00
Session2,Practice 2
Session2Date,2021-06-04 16:00:00+04:00
Session2DateUtc,2021-06-04 12:00:00
Session3,Practice 3
Session3Date,2021-06-05 13:00:00+04:00
Session3DateUtc,2021-06-05 09:00:00
Session4,Qualifying
Session4Date,2021-06-05 16:00:00+04:00
Session4DateUtc,2021-06-05 12:00:00
Session5,Race
Session5Date,2021-06-06 16:00:00+04:00
Session5DateUtc,2021-06-06 12:00:00
F1ApiSupport,True
