,10
RoundNumber,10
Country,Spain
Location,Barcelona
OfficialEventName,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024
EventDate,2024-06-23 00:00:00
EventName,Spanish Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-06-21 13:30:00+02:00
Session1DateUtc,2024-06-21 11:30:00
Session2,Practice 2
Session2Date,2024-06-21 17:00:00+02:00
Session2DateUtc,2024-06-21 15:00:00
Session3,Practice 3
Session3Date,2024-06-22 12:30:00+02:00
Session3DateUtc,2024-06-22 10:30:00
Session4,Qualifying
Session4Date,2024-06-22 16:00:00+02:00
Session4DateUtc,2024-06-22 14:00:00
Session5,Race
Session5Date,2024-06-23 15:00:00+02:00
Session5DateUtc,2024-06-23 13:00:00
F1ApiSupport,True
