,Meeting,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1138,,7276,Race,Race,2022-11-20 17:00:00,2022-11-20 19:00:00,0 days 04:00:00,2022/2022-11-20_Abu_Dhabi_Grand_Prix/2022-11-20_Race/
Name,Abu Dhabi Grand Prix,,7276,Race,Race,2022-11-20 17:00:00,2022-11-20 19:00:00,0 days 04:00:00,2022/2022-11-20_Abu_Dhabi_Grand_Prix/2022-11-20_Race/
OfficialName,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2022,,7276,Race,Race,2022-11-20 17:00:00,2022-11-20 19:00:00,0 days 04:00:00,2022/2022-11-20_Abu_Dhabi_Grand_Prix/2022-11-20_Race/
Location,Yas Island,,7276,Race,Race,2022-11-20 17:00:00,2022-11-20 19:00:00,0 days 04:00:00,2022/2022-11-20_Abu_Dhabi_Grand_Prix/2022-11-20_Race/
Country,"{'Key': 21, 'Code': 'UAE', 'Name': 'United Arab Emirates'}",,7276,Race,Race,2022-11-20 17:00:00,2022-11-20 19:00:00,0 days 04:00:00,2022/2022-11-20_Abu_Dhabi_Grand_Prix/2022-11-20_Race/
Circuit,"{'Key': 70, 'ShortName': 'Yas Marina Circuit'}",,7276,Race,Race,2022-11-20 17:00:00,2022-11-20 19:00:00,0 days 04:00:00,2022/2022-11-20_Abu_Dhabi_Grand_Prix/2022-11-20_Race/
Status,,Generating,7276,Race,Race,2022-11-20 17:00:00,2022-11-20 19:00:00,0 days 04:00:00,2022/2022-11-20_Abu_Dhabi_Grand_Prix/2022-11-20_Race/
