,Time,Status
0,0 days 00:00:06.203000,Inactive
1,0 days 00:59:02.863000,Started
2,0 days 02:29:58.114000,Finished
3,0 days 02:34:01.493000,Finalised
4,0 days 02:34:03.467000,Ends
