,16
RoundNumber,15
Country,Netherlands
Location,Zandvoort
OfficialEventName,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2022
EventDate,2022-09-04 00:00:00
EventName,Dutch Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-09-02 12:30:00+02:00
Session1DateUtc,2022-09-02 10:30:00
Session2,Practice 2
Session2Date,2022-09-02 16:00:00+02:00
Session2DateUtc,2022-09-02 14:00:00
Session3,Practice 3
Session3Date,2022-09-03 12:00:00+02:00
Session3DateUtc,2022-09-03 10:00:00
Session4,Qualifying
Session4Date,2022-09-03 15:00:00+02:00
Session4DateUtc,2022-09-03 13:00:00
Session5,Race
Session5Date,2022-09-04 15:00:00+02:00
Session5DateUtc,2022-09-04 13:00:00
F1ApiSupport,True
