,DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps
33,33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1e41ff,red_bull,Max,Verstappen,Max Verstappen,None,,1.0,,,0 days 00:01:08.242000,0 days 00:01:07.503000,0 days 00:01:07.508000,,,,
5,5,S VETTEL,VET,vettel,Ferrari,dc0000,ferrari,Sebastian,Vettel,Sebastian Vettel,None,,2.0,,,0 days 00:01:08.556000,0 days 00:01:08.050000,0 days 00:01:07.631000,,,,
44,44,L HAMILTON,HAM,hamilton,Mercedes,00d2be,mercedes,Lewis,Hamilton,Lewis Hamilton,None,,3.0,,,0 days 00:01:08.614000,0 days 00:01:08.088000,0 days 00:01:07.699000,,,,
16,16,C LECLERC,LEC,leclerc,Ferrari,dc0000,ferrari,Charles,Leclerc,Charles Leclerc,None,,4.0,,,0 days 00:01:08.496000,0 days 00:01:07.888000,0 days 00:01:07.728000,,,,
77,77,V BOTTAS,BOT,bottas,Mercedes,00d2be,mercedes,Valtteri,Bottas,Valtteri Bottas,None,,5.0,,,0 days 00:01:08.545000,0 days 00:01:08.232000,0 days 00:01:07.874000,,,,
23,23,A ALBON,ALB,albon,Red Bull Racing,1e41ff,red_bull,Alexander,Albon,Alexander Albon,None,,6.0,,,0 days 00:01:08.503000,0 days 00:01:08.117000,0 days 00:01:07.935000,,,,
10,10,P GASLY,GAS,gasly,Toro Rosso,469bff,toro_rosso,Pierre,Gasly,Pierre Gasly,None,,7.0,,,0 days 00:01:08.909000,0 days 00:01:08.770000,0 days 00:01:08.837000,,,,
8,8,R GROSJEAN,GRO,grosjean,Haas F1 Team,bd9e57,haas,Romain,Grosjean,Romain Grosjean,None,,8.0,,,0 days 00:01:09.197000,0 days 00:01:08.705000,0 days 00:01:08.854000,,,,
7,7,K RAIKKONEN,RAI,raikkonen,Alfa Romeo Racing,9b0000,alfa,Kimi,Räikkönen,Kimi Räikkönen,None,,9.0,,,0 days 00:01:09.276000,0 days 00:01:08.858000,0 days 00:01:08.984000,,,,
20,20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,bd9e57,haas,Kevin,Magnussen,Kevin Magnussen,None,,10.0,,,0 days 00:01:08.875000,0 days 00:01:08.803000,0 days 00:01:09.037000,,,,
4,4,L NORRIS,NOR,norris,McLaren,ff8700,mclaren,Lando,Norris,Lando Norris,None,,11.0,,,0 days 00:01:08.891000,0 days 00:01:08.868000,,,,,
3,3,D RICCIARDO,RIC,ricciardo,Renault,fff500,renault,Daniel,Ricciardo,Daniel Ricciardo,None,,12.0,,,0 days 00:01:09.086000,0 days 00:01:08.903000,,,,,
99,99,A GIOVINAZZI,GIO,giovinazzi,Alfa Romeo Racing,9b0000,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,None,,13.0,,,0 days 00:01:09.175000,0 days 00:01:08.919000,,,,,
27,27,N HULKENBERG,HUL,hulkenberg,Renault,fff500,renault,Nico,Hulkenberg,Nico Hulkenberg,None,,14.0,,,0 days 00:01:09.050000,0 days 00:01:08.921000,,,,,
11,11,S PEREZ,PER,perez,Racing Point,f596c8,racing_point,Sergio,Perez,Sergio Perez,None,,15.0,,,0 days 00:01:09.288000,0 days 00:01:09.035000,,,,,
26,26,D KVYAT,KVY,kvyat,Toro Rosso,469bff,toro_rosso,Daniil,Kvyat,Daniil Kvyat,None,,16.0,,,0 days 00:01:09.320000,,,,,,
18,18,L STROLL,STR,stroll,Racing Point,f596c8,racing_point,Lance,Stroll,Lance Stroll,None,,17.0,,,0 days 00:01:09.536000,,,,,,
63,63,G RUSSELL,RUS,russell,Williams,ffffff,williams,George,Russell,George Russell,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png,,18.0,,,0 days 00:01:10.126000,,,,,,
88,88,R KUBICA,KUB,kubica,Williams,ffffff,williams,Robert,Kubica,Robert Kubica,https://www.formula1.com/content/dam/fom-website/drivers/R/ROBKUB01_Robert_Kubica/robkub01.png.transform/1col/image.png,,19.0,,,0 days 00:01:10.614000,,,,,,
55,55,C SAINZ,SAI,sainz,McLaren,ff8700,mclaren,Carlos,Sainz,Carlos Sainz,None,,20.0,,,,,,,,,
