,14
RoundNumber,14
Country,Belgium
Location,Spa-Francorchamps
OfficialEventName,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024
EventDate,2024-07-28 00:00:00
EventName,Belgian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-07-26 13:30:00+02:00
Session1DateUtc,2024-07-26 11:30:00
Session2,Practice 2
Session2Date,2024-07-26 17:00:00+02:00
Session2DateUtc,2024-07-26 15:00:00
Session3,Practice 3
Session3Date,2024-07-27 12:30:00+02:00
Session3DateUtc,2024-07-27 10:30:00
Session4,Qualifying
Session4Date,2024-07-27 16:00:00+02:00
Session4DateUtc,2024-07-27 14:00:00
Session5,Race
Session5Date,2024-07-28 15:00:00+02:00
Session5DateUtc,2024-07-28 13:00:00
F1ApiSupport,True
