,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
46,2021-09-05 13:50:21,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:20,,BLUE,Driver,,11,38
47,2021-09-05 13:50:41,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:40,,BLUE,Driver,,11,38
48,2021-09-05 13:50:52,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:50:51,,BLUE,Driver,,9,38
49,2021-09-05 13:51:16,Flag,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 15:51:15,,BLUE,Driver,,4,39
50,2021-09-05 13:51:48,Flag,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 15:51:47,,BLUE,Driver,,4,39
51,2021-09-05 13:52:48,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:52:47,,BLUE,Driver,,63,40
52,2021-09-05 13:53:23,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:53:23,,BLUE,Driver,,3,40
53,2021-09-05 13:53:29,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:53:28,,BLUE,Driver,,18,40
54,2021-09-05 13:54:02,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:54:01,,BLUE,Driver,,63,41
55,2021-09-05 13:54:57,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:54:56,,BLUE,Driver,,3,41
56,2021-09-05 13:57:56,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:57:56,,BLUE,Driver,,31,44
57,2021-09-05 13:58:30,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:58:29,,BLUE,Driver,,14,44
58,2021-09-05 13:59:02,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:59:01,,BLUE,Driver,,31,45
59,2021-09-05 13:59:42,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:59:42,,BLUE,Driver,,14,45
60,2021-09-05 14:00:03,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:00:03,,BLUE,Driver,,11,46
61,2021-09-05 14:00:26,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:00:26,,BLUE,Driver,,47,46
62,2021-09-05 14:01:05,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:01:05,,BLUE,Driver,,11,46
63,2021-09-05 14:02:23,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:02:22,,BLUE,Driver,,99,47
64,2021-09-05 14:05:20,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:05:19,,BLUE,Driver,,31,50
65,2021-09-05 14:05:35,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:05:34,,BLUE,Driver,,47,50
66,2021-09-05 14:05:41,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:05:41,,BLUE,Driver,,99,50
67,2021-09-05 14:07:05,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:07:04,,BLUE,Driver,,14,51
68,2021-09-05 14:07:33,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:07:32,,BLUE,Driver,,6,52
69,2021-09-05 14:08:04,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:08:04,,BLUE,Driver,,55,52
70,2021-09-05 14:08:30,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:08:30,,BLUE,Driver,,55,52
71,2021-09-05 14:09:54,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:09:53,,BLUE,Driver,,99,54
72,2021-09-05 14:10:26,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 16:10:25,,BLUE,Driver,,5,54
73,2021-09-05 14:10:43,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:10:43,,BLUE,Driver,,6,54
74,2021-09-05 14:11:08,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:11:07,,BLUE,Driver,,88,55
75,2021-09-05 14:11:14,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 16:11:14,,BLUE,Driver,,5,55
76,2021-09-05 14:11:52,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:11:51,,BLUE,Driver,,88,55
77,2021-09-05 14:14:08,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:14:08,,BLUE,Driver,,47,57
78,2021-09-05 14:14:28,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:14:27,,BLUE,Driver,,47,57
79,2021-09-05 14:15:26,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:15:25,,BLUE,Driver,,99,58
80,2021-09-05 14:15:46,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:15:45,,BLUE,Driver,,99,58
81,2021-09-05 14:15:48,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:15:47,,BLUE,Driver,,6,58
82,2021-09-05 14:16:15,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:16:15,,BLUE,Driver,,6,59
83,2021-09-05 14:16:48,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:16:48,,BLUE,Driver,,47,59
84,2021-09-05 14:20:54,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:20:53,,BLUE,Driver,,47,63
85,2021-09-05 14:21:06,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:21:05,,BLUE,Driver,,55,63
86,2021-09-05 14:21:26,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:21:25,,BLUE,Driver,,47,63
87,2021-09-05 14:21:40,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:21:39,,BLUE,Driver,,55,63
88,2021-09-05 14:21:47,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:21:46,,BLUE,Driver,,47,63
89,2021-09-05 14:22:50,Flag,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 16:22:49,,BLUE,Driver,,16,64
90,2021-09-05 14:23:10,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:23:10,,BLUE,Driver,,47,64
91,2021-09-05 14:23:38,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:23:37,,BLUE,Driver,,47,65
92,2021-09-05 14:24:10,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:24:09,,BLUE,Driver,,88,65
93,2021-09-05 14:24:18,Flag,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 16:24:18,,BLUE,Driver,,16,65
94,2021-09-05 14:25:12,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:25:12,,BLUE,Driver,,6,66
95,2021-09-05 14:25:35,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,,,,,,66
96,2021-09-05 14:26:19,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,,67
97,2021-09-05 14:26:25,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:26:24,,BLUE,Driver,,10,67
98,2021-09-05 14:26:31,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:26:30,,BLUE,Driver,,18,67
99,2021-09-05 14:26:47,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,67
100,2021-09-05 14:26:48,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,67
101,2021-09-05 14:26:57,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:26:56,,BLUE,Driver,,88,67
102,2021-09-05 14:27:20,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:27:20,,BLUE,Driver,,18,68
103,2021-09-05 14:27:24,Other,TURN 1 INCIDENT INVOLVING CARS 4 (NOR) AND 11 (PER) NOTED ,,,,,,68
104,2021-09-05 14:27:44,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:27:43,,BLUE,Driver,,63,68
105,2021-09-05 14:27:47,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:27:47,,BLUE,Driver,,10,68
106,2021-09-05 14:27:56,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:27:56,,BLUE,Driver,,88,68
107,2021-09-05 14:28:07,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:28:07,,BLUE,Driver,,3,68
108,2021-09-05 14:28:10,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:28:09,,BLUE,Driver,,6,68
109,2021-09-05 14:28:18,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:28:17,,BLUE,Driver,,88,69
110,2021-09-05 14:28:33,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:28:32,,BLUE,Driver,,6,69
111,2021-09-05 14:28:42,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:28:42,,BLUE,Driver,,6,69
112,2021-09-05 14:28:57,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:28:57,,BLUE,Driver,,63,69
113,2021-09-05 14:28:59,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:28:58,,BLUE,Driver,,3,69
114,2021-09-05 14:29:30,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:29:30,,BLUE,Driver,,63,69
115,2021-09-05 14:29:40,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:29:40,,BLUE,Driver,,88,70
116,2021-09-05 14:30:08,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:30:07,,BLUE,Driver,,6,70
117,2021-09-05 14:30:42,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:30:42,,BLUE,Driver,,18,70
118,2021-09-05 14:31:07,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:31:06,,BLUE,Driver,,47,71
119,2021-09-05 14:31:54,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:31:54,,BLUE,Driver,,88,71
120,2021-09-05 14:32:24,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:32:24,,BLUE,Driver,,6,72
121,2021-09-05 14:32:54,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:32:53,,BLUE,Driver,,63,72
122,2021-09-05 14:33:37,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:33:36,,BLUE,Driver,,18,72
123,2021-09-05 14:33:47,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:33:46,,BLUE,Driver,,18,72
124,2021-09-05 14:34:15,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:34:15,,BLUE,Driver,,99,72
125,2021-09-05 14:34:29,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:34:29,,BLUE,Driver,,47,72
126,2021-09-05 14:34:36,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:34:36,,BLUE,Driver,,6,72
127,2021-09-05 14:34:37,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:34:37,,BLUE,Driver,,18,72
128,2021-09-05 14:35:50,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:35:49,,BLUE,Driver,,88,72
129,2021-09-05 14:36:15,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:36:14,,BLUE,Driver,,88,72
