,13
RoundNumber,13
Country,Netherlands
Location,Zandvoort
OfficialEventName,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2021
EventDate,2021-09-05 00:00:00
EventName,Dutch Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-09-03 11:30:00+02:00
Session1DateUtc,2021-09-03 09:30:00
Session2,Practice 2
Session2Date,2021-09-03 15:00:00+02:00
Session2DateUtc,2021-09-03 13:00:00
Session3,Practice 3
Session3Date,2021-09-04 12:00:00+02:00
Session3DateUtc,2021-09-04 10:00:00
Session4,Qualifying
Session4Date,2021-09-04 15:00:00+02:00
Session4DateUtc,2021-09-04 13:00:00
Session5,Race
Session5Date,2021-09-05 15:00:00+02:00
Session5DateUtc,2021-09-05 13:00:00
F1ApiSupport,True
