,12
RoundNumber,13
Country,Belgium
Location,Spa-Francorchamps
OfficialEventName,FORMULA 1 JOHNNIE WALKER BELGIAN GRAND PRIX 2019
EventDate,2019-09-01 00:00:00
EventName,Belgian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-08-30 11:00:00+02:00
Session1DateUtc,2019-08-30 09:00:00
Session2,Practice 2
Session2Date,2019-08-30 15:00:00+02:00
Session2DateUtc,2019-08-30 13:00:00
Session3,Practice 3
Session3Date,2019-08-31 12:00:00+02:00
Session3DateUtc,2019-08-31 10:00:00
Session4,Qualifying
Session4Date,2019-08-31 15:00:00+02:00
Session4DateUtc,2019-08-31 13:00:00
Session5,Race
Session5Date,2019-09-01 15:10:00+02:00
Session5DateUtc,2019-09-01 13:10:00
F1ApiSupport,True
