,14
RoundNumber,14
Country,Hungary
Location,Budapest
OfficialEventName,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025
EventDate,2025-08-03 00:00:00
EventName,Hungarian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-08-01 13:30:00+02:00
Session1DateUtc,2025-08-01 11:30:00
Session2,Practice 2
Session2Date,2025-08-01 17:00:00+02:00
Session2DateUtc,2025-08-01 15:00:00
Session3,Practice 3
Session3Date,2025-08-02 12:30:00+02:00
Session3DateUtc,2025-08-02 10:30:00
Session4,Qualifying
Session4Date,2025-08-02 16:00:00+02:00
Session4DateUtc,2025-08-02 14:00:00
Session5,Race
Session5Date,2025-08-03 15:00:00+02:00
Session5DateUtc,2025-08-03 13:00:00
F1ApiSupport,True
