,Meeting,SessionStatus,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1279,Inactive,,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
Name,Australian Grand Prix,Inactive,,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
OfficialName,FORMULA 1 QATAR AIRWAYS AUSTRALIAN GRAND PRIX 2026,Inactive,,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
Location,Melbourne,Inactive,,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
Number,1,Inactive,,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
Country,"{'Key': 5, 'Code': 'AUS', 'Name': 'Australia'}",Inactive,,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
Circuit,"{'Key': 10, 'ShortName': 'Melbourne'}",Inactive,,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
Status,,Inactive,Generating,11230,Qualifying,Qualifying,2026-03-07 16:00:00,2026-03-07 17:00:00,0 days 11:00:00,2026/2026-03-08_Australian_Grand_Prix/2026-03-07_Qualifying/
