,Time,Status
0,0 days 00:00:07.040000,Inactive
1,0 days 00:12:41.484000,Started
2,0 days 00:23:12.722000,Aborted
3,0 days 00:27:57.503000,Inactive
4,0 days 00:31:41.475000,Started
5,0 days 00:39:10.486000,Finished
6,0 days 00:45:47.316000,Inactive
7,0 days 00:46:41.501000,Started
8,0 days 01:01:41.467000,Finished
9,0 days 01:10:47.981000,Inactive
10,0 days 01:11:41.482000,Started
11,0 days 01:14:55.213000,Aborted
12,0 days 01:19:49.205000,Inactive
13,0 days 01:22:41.507000,Started
14,0 days 01:32:28.483000,Finished
15,0 days 01:35:47.893000,Finalised
16,0 days 01:37:06.629000,Ends
