,20
RoundNumber,21
Country,Abu Dhabi
Location,Yas Island
OfficialEventName,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2019
EventDate,2019-12-01 00:00:00
EventName,Abu Dhabi Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-11-29 13:00:00+04:00
Session1DateUtc,2019-11-29 09:00:00
Session2,Practice 2
Session2Date,2019-11-29 17:00:00+04:00
Session2DateUtc,2019-11-29 13:00:00
Session3,Practice 3
Session3Date,2019-11-30 14:00:00+04:00
Session3DateUtc,2019-11-30 10:00:00
Session4,Qualifying
Session4Date,2019-11-30 17:00:00+04:00
Session4DateUtc,2019-11-30 13:00:00
Session5,Race
Session5Date,2019-12-01 17:10:00+04:00
Session5DateUtc,2019-12-01 13:10:00
F1ApiSupport,True
