,Time,Status
0,0 days 00:00:08.339000,Inactive
1,0 days 00:10:27.127000,Started
2,0 days 00:16:21.951000,Aborted
3,0 days 00:24:31.675000,Inactive
4,0 days 00:27:27.155000,Started
5,0 days 00:39:33.127000,Finished
6,0 days 00:45:39.833000,Inactive
7,0 days 00:47:27.127000,Started
8,0 days 00:51:45.600000,Aborted
9,0 days 00:57:33.328000,Inactive
10,0 days 01:00:27.123000,Started
11,0 days 01:11:09.111000,Finished
12,0 days 01:17:36.619000,Inactive
13,0 days 01:19:27.265000,Started
14,0 days 01:22:37.045000,Aborted
15,0 days 01:25:28.240000,Inactive
16,0 days 01:28:27.168000,Started
17,0 days 01:34:20.519000,Aborted
18,0 days 01:45:24.854000,Inactive
19,0 days 01:48:27.161000,Started
20,0 days 01:50:48.021000,Aborted
21,0 days 01:53:53.305000,Finalised
22,0 days 02:08:57.927000,Ends
