,Meeting,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1107,,6597,Qualifying,Qualifying,2021-12-11 17:00:00,2021-12-11 18:00:00,0 days 04:00:00,2021/2021-12-12_Abu_Dhabi_Grand_Prix/2021-12-11_Qualifying/
Name,Abu Dhabi Grand Prix,,6597,Qualifying,Qualifying,2021-12-11 17:00:00,2021-12-11 18:00:00,0 days 04:00:00,2021/2021-12-12_Abu_Dhabi_Grand_Prix/2021-12-11_Qualifying/
Location,Yas Island,,6597,Qualifying,Qualifying,2021-12-11 17:00:00,2021-12-11 18:00:00,0 days 04:00:00,2021/2021-12-12_Abu_Dhabi_Grand_Prix/2021-12-11_Qualifying/
Country,"{'Key': 21, 'Code': 'UAE', 'Name': 'United Arab Emirates'}",,6597,Qualifying,Qualifying,2021-12-11 17:00:00,2021-12-11 18:00:00,0 days 04:00:00,2021/2021-12-12_Abu_Dhabi_Grand_Prix/2021-12-11_Qualifying/
Circuit,"{'Key': 70, 'ShortName': 'Yas Marina Circuit'}",,6597,Qualifying,Qualifying,2021-12-11 17:00:00,2021-12-11 18:00:00,0 days 04:00:00,2021/2021-12-12_Abu_Dhabi_Grand_Prix/2021-12-11_Qualifying/
Status,,Generating,6597,Qualifying,Qualifying,2021-12-11 17:00:00,2021-12-11 18:00:00,0 days 04:00:00,2021/2021-12-12_Abu_Dhabi_Grand_Prix/2021-12-11_Qualifying/
