,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:26.131000,33.7,35.0,1010.5,False,53.5,319,2.0
1,0 days 00:01:26.145000,33.8,31.9,1010.6,False,52.5,294,4.3
2,0 days 00:02:26.139000,33.9,31.9,1010.5,False,52.8,296,3.7
3,0 days 00:03:26.149000,33.8,31.6,1010.7,False,53.8,321,3.6
4,0 days 00:04:26.149000,33.8,30.8,1010.6,False,53.3,317,2.9
5,0 days 00:05:26.149000,34.1,30.5,1010.5,False,54.2,290,4.6
6,0 days 00:06:26.143000,34.1,30.3,1010.4,False,52.5,296,5.6
7,0 days 00:07:26.155000,34.0,30.3,1010.6,False,52.7,308,5.0
8,0 days 00:08:26.128000,33.9,30.5,1010.6,False,52.5,299,4.9
9,0 days 00:09:26.152000,33.9,30.5,1010.6,False,52.5,299,4.9
10,0 days 00:10:26.139000,33.9,30.6,1010.5,False,52.3,302,5.3
11,0 days 00:11:26.153000,33.9,31.1,1010.5,False,51.6,298,4.3
12,0 days 00:12:26.143000,33.9,31.1,1010.5,False,51.6,298,4.3
13,0 days 00:13:26.159000,33.9,30.8,1010.4,False,52.0,289,4.2
14,0 days 00:14:26.153000,33.9,30.8,1010.4,False,52.0,289,4.2
15,0 days 00:15:26.143000,33.8,30.8,1010.5,False,52.3,296,3.5
16,0 days 00:16:26.158000,33.9,31.1,1010.4,False,52.0,299,5.5
17,0 days 00:17:26.147000,33.9,31.3,1010.4,False,52.0,320,4.3
18,0 days 00:18:26.158000,33.9,31.3,1010.4,False,52.0,320,4.3
19,0 days 00:19:26.161000,33.8,31.7,1010.3,False,52.2,303,2.9
20,0 days 00:20:26.138000,33.8,32.1,1010.3,False,53.1,319,3.3
21,0 days 00:21:26.153000,33.8,32.1,1010.3,False,53.1,319,3.3
22,0 days 00:22:26.161000,33.8,32.1,1010.3,False,53.1,319,3.3
23,0 days 00:23:26.161000,33.8,31.0,1010.3,False,53.0,298,3.7
24,0 days 00:24:26.162000,33.8,30.7,1010.1,False,52.3,290,3.5
25,0 days 00:25:26.170000,33.8,30.7,1010.1,False,52.3,290,3.5
26,0 days 00:26:26.165000,33.8,30.7,1010.1,False,52.3,290,3.5
27,0 days 00:27:26.167000,33.8,30.7,1010.1,False,52.3,290,3.5
28,0 days 00:28:26.162000,33.9,31.0,1010.2,False,52.3,312,3.4
29,0 days 00:29:26.162000,33.9,31.0,1010.2,False,52.3,312,3.4
30,0 days 00:30:26.162000,33.8,31.3,1010.2,False,51.7,294,3.6
31,0 days 00:31:26.160000,33.8,31.3,1010.2,False,51.7,294,3.6
32,0 days 00:32:26.170000,33.8,31.3,1010.2,False,51.7,294,3.6
33,0 days 00:33:26.176000,33.8,31.3,1010.2,False,51.7,294,3.6
34,0 days 00:34:26.170000,33.9,31.0,1010.0,False,51.9,291,5.3
35,0 days 00:35:26.195000,33.9,31.0,1010.0,False,51.9,291,5.3
36,0 days 00:36:26.193000,33.9,31.0,1010.0,False,51.9,291,5.3
37,0 days 00:37:26.174000,33.9,31.0,1010.0,False,51.9,291,5.3
38,0 days 00:38:26.161000,33.9,31.0,1010.0,False,51.9,291,5.3
39,0 days 00:39:26.174000,33.9,30.5,1010.1,False,52.4,291,1.8
40,0 days 00:40:26.177000,33.9,30.5,1010.1,False,52.4,291,1.8
41,0 days 00:41:26.179000,33.9,30.5,1010.1,False,52.4,291,1.8
42,0 days 00:42:26.167000,33.9,30.5,1010.1,False,52.4,291,1.8
43,0 days 00:43:26.175000,34.0,30.3,1010.1,False,52.6,295,3.0
44,0 days 00:44:26.179000,34.0,30.6,1010.1,False,52.8,287,2.8
45,0 days 00:45:26.168000,34.0,30.6,1010.1,False,52.8,287,2.8
46,0 days 00:46:26.176000,34.0,30.6,1010.1,False,52.8,287,2.8
