,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2025-10-25 21:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
1,2025-10-25 21:03:58,Other,CAR 5 (BOR) TIME 1:18.964 DELETED - TRACK LIMITS AT TURN 12 LAP 3 15:03:34,,,,,,
2,2025-10-25 21:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
3,2025-10-25 21:18:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,,
4,2025-10-25 21:18:46,Other,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 9 15:16:30 (PIT),,,,,,
5,2025-10-25 21:20:56,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 81 (PIA), 27 (HUL), 22 (TSU), 55 (SAI) AND 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
6,2025-10-25 21:21:02,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 81 (PIA), 27 (HUL), 22 (TSU), 55 (SAI) AND 5 (BOR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
7,2025-10-25 21:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
8,2025-10-25 21:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
9,2025-10-25 21:40:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,,
10,2025-10-25 21:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
11,2025-10-25 22:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
12,2025-10-25 22:00:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 6 (HAD),,,,,,
13,2025-10-25 22:02:49,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 81 (PIA), 27 (HUL), 22 (TSU), 55 (SAI) AND 5 (BOR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
