,13
RoundNumber,14
Country,Italy
Location,Monza
OfficialEventName,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2018
EventDate,2018-09-02 00:00:00
EventName,Italian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-08-31 11:00:00+02:00
Session1DateUtc,2018-08-31 09:00:00
Session2,Practice 2
Session2Date,2018-08-31 15:00:00+02:00
Session2DateUtc,2018-08-31 13:00:00
Session3,Practice 3
Session3Date,2018-09-01 12:00:00+02:00
Session3DateUtc,2018-09-01 10:00:00
Session4,Qualifying
Session4Date,2018-09-01 15:00:00+02:00
Session4DateUtc,2018-09-01 13:00:00
Session5,Race
Session5Date,2018-09-02 15:10:00+02:00
Session5DateUtc,2018-09-02 13:10:00
F1ApiSupport,True
