,Time,Status
0,0 days 00:00:11.502000,Inactive
1,0 days 00:58:20.522000,Started
2,0 days 02:24:28.174000,Finished
3,0 days 02:34:40.200000,Finalised
4,0 days 02:34:40.200000,Ends
