,5
RoundNumber,4
Country,Great Britain
Location,Silverstone
OfficialEventName,FORMULA 1 PIRELLI BRITISH GRAND PRIX 2020
EventDate,2020-08-02 00:00:00
EventName,British Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2020-07-31 11:00:00+01:00
Session1DateUtc,2020-07-31 10:00:00
Session2,Practice 2
Session2Date,2020-07-31 15:00:00+01:00
Session2DateUtc,2020-07-31 14:00:00
Session3,Practice 3
Session3Date,2020-08-01 11:00:00+01:00
Session3DateUtc,2020-08-01 10:00:00
Session4,Qualifying
Session4Date,2020-08-01 14:00:00+01:00
Session4DateUtc,2020-08-01 13:00:00
Session5,Race
Session5Date,2020-08-02 14:10:00+01:00
Session5DateUtc,2020-08-02 13:10:00
F1ApiSupport,True
