,Meeting,SessionStatus,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1267,Inactive,,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
Name,Dutch Grand Prix,Inactive,,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
OfficialName,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,Inactive,,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
Location,Zandvoort,Inactive,,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
Number,15,Inactive,,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
Country,"{'Key': 133, 'Code': 'NED', 'Name': 'Netherlands'}",Inactive,,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
Circuit,"{'Key': 55, 'ShortName': 'Zandvoort'}",Inactive,,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
Status,,Inactive,Generating,9916,Qualifying,Qualifying,2025-08-30 15:00:00,2025-08-30 16:00:00,0 days 02:00:00,2025/2025-08-31_Dutch_Grand_Prix/2025-08-30_Qualifying/
