,16
RoundNumber,16
Country,Turkey
Location,Istanbul
OfficialEventName,FORMULA 1 ROLEX TURKISH GRAND PRIX 2021
EventDate,2021-10-10 00:00:00
EventName,Turkish Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-10-08 11:30:00+03:00
Session1DateUtc,2021-10-08 08:30:00
Session2,Practice 2
Session2Date,2021-10-08 15:00:00+03:00
Session2DateUtc,2021-10-08 12:00:00
Session3,Practice 3
Session3Date,2021-10-09 12:00:00+03:00
Session3DateUtc,2021-10-09 09:00:00
Session4,Qualifying
Session4Date,2021-10-09 15:00:00+03:00
Session4DateUtc,2021-10-09 12:00:00
Session5,Race
Session5Date,2021-10-10 15:00:00+03:00
Session5DateUtc,2021-10-10 12:00:00
F1ApiSupport,True
