,4
RoundNumber,3
Country,Hungary
Location,Budapest
OfficialEventName,FORMULA 1 ARAMCO MAGYAR NAGYDÍJ 2020
EventDate,2020-07-19 00:00:00
EventName,Hungarian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2020-07-17 11:00:00+02:00
Session1DateUtc,2020-07-17 09:00:00
Session2,Practice 2
Session2Date,2020-07-17 15:00:00+02:00
Session2DateUtc,2020-07-17 13:00:00
Session3,Practice 3
Session3Date,2020-07-18 12:00:00+02:00
Session3DateUtc,2020-07-18 10:00:00
Session4,Qualifying
Session4Date,2020-07-18 15:00:00+02:00
Session4DateUtc,2020-07-18 13:00:00
Session5,Race
Session5Date,2020-07-19 15:10:00+02:00
Session5DateUtc,2020-07-19 13:10:00
F1ApiSupport,True
