,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:01:00.953000,19.3,65.8,987.9,False,29.6,99,1.1
1,0 days 00:02:00.950000,19.3,66.6,987.8,False,29.4,95,0.8
2,0 days 00:03:00.954000,19.3,67.2,987.9,False,29.4,109,0.7
3,0 days 00:04:00.950000,19.4,67.2,987.9,False,29.4,159,1.4
4,0 days 00:05:00.952000,19.4,68.0,987.9,False,29.4,96,1.2
5,0 days 00:06:00.950000,19.4,68.0,987.9,False,29.4,280,1.4
6,0 days 00:07:00.962000,19.3,69.2,987.9,False,29.0,103,1.1
7,0 days 00:08:00.949000,19.3,70.5,987.9,False,28.6,160,1.0
8,0 days 00:09:00.950000,19.0,70.8,987.9,False,28.6,310,1.0
9,0 days 00:10:00.951000,18.9,71.1,987.9,False,28.4,276,0.5
10,0 days 00:11:00.951000,18.9,71.2,988.0,False,28.3,238,0.4
11,0 days 00:12:00.962000,18.8,69.8,988.0,False,28.3,139,0.6
12,0 days 00:13:00.950000,18.7,71.1,987.9,False,27.8,130,0.7
13,0 days 00:14:00.963000,18.7,71.1,987.9,False,27.8,130,0.7
14,0 days 00:15:00.952000,18.7,71.1,987.9,False,27.8,130,0.7
15,0 days 00:16:00.964000,18.7,71.1,987.9,False,27.8,130,0.7
16,0 days 00:17:00.960000,18.7,71.1,987.9,False,27.8,130,0.7
17,0 days 00:18:00.959000,18.6,71.4,987.8,False,27.8,112,1.0
18,0 days 00:19:00.953000,18.6,71.4,987.8,False,27.8,148,1.2
19,0 days 00:20:00.950000,18.6,71.4,987.8,False,27.8,148,1.2
20,0 days 00:21:00.959000,18.8,71.6,987.8,False,28.0,69,1.3
21,0 days 00:22:00.969000,18.9,71.8,987.9,False,28.1,95,2.0
22,0 days 00:23:00.982000,19.0,71.4,987.9,False,27.4,114,1.9
23,0 days 00:24:01.006000,19.0,71.4,987.9,False,27.4,114,1.9
24,0 days 00:25:01.015000,19.1,71.8,987.9,False,27.4,92,1.5
25,0 days 00:26:01.039000,19.0,72.0,987.9,False,27.2,91,1.8
26,0 days 00:27:01.045000,19.0,72.0,987.9,False,27.2,91,1.8
27,0 days 00:28:01.044000,19.0,71.1,987.8,False,27.1,108,1.7
28,0 days 00:29:01.048000,18.8,71.8,987.8,False,27.0,97,1.4
29,0 days 00:30:01.053000,18.7,71.7,987.8,False,27.0,114,1.5
30,0 days 00:31:01.066000,18.7,71.7,987.8,False,27.0,114,1.5
31,0 days 00:32:01.077000,18.8,72.5,987.8,False,27.0,102,1.7
32,0 days 00:33:01.079000,18.8,72.5,987.8,False,27.0,102,1.7
33,0 days 00:34:01.086000,18.8,73.3,987.8,False,27.1,101,1.8
34,0 days 00:35:01.080000,18.8,73.3,987.8,False,27.1,101,1.8
35,0 days 00:36:01.077000,19.0,72.9,987.8,False,27.5,71,1.7
36,0 days 00:37:01.074000,18.8,72.6,987.8,False,27.2,112,1.6
37,0 days 00:38:01.084000,18.7,73.2,987.8,False,27.0,94,1.3
38,0 days 00:39:01.117000,18.6,73.7,987.8,False,27.1,165,1.0
39,0 days 00:40:01.121000,18.5,73.4,987.8,False,27.0,177,0.8
40,0 days 00:41:01.124000,18.5,73.6,987.8,False,27.0,192,0.8
41,0 days 00:42:01.122000,18.5,73.6,987.8,False,27.0,192,0.8
42,0 days 00:43:01.129000,18.4,73.8,987.9,False,27.1,104,0.8
43,0 days 00:44:01.124000,18.5,73.4,987.8,False,27.3,104,0.9
44,0 days 00:45:01.124000,18.6,73.9,987.8,False,27.3,100,1.6
45,0 days 00:46:01.123000,18.6,73.9,987.8,False,27.3,100,1.6
46,0 days 00:47:01.124000,18.7,73.0,987.8,False,27.1,104,1.7
47,0 days 00:48:01.138000,18.7,73.0,987.8,False,27.1,104,1.7
48,0 days 00:49:01.155000,18.7,72.9,987.8,False,26.9,104,1.2
49,0 days 00:50:01.169000,18.7,72.8,987.8,False,26.9,68,0.7
50,0 days 00:51:01.170000,18.7,72.5,987.8,False,26.8,109,1.2
51,0 days 00:52:01.168000,18.5,72.6,987.8,False,26.7,129,1.1
52,0 days 00:53:01.169000,18.5,73.4,987.9,False,26.7,162,0.6
53,0 days 00:54:01.167000,18.5,73.4,987.9,False,26.7,162,0.6
54,0 days 00:55:01.171000,18.6,73.9,987.8,False,26.7,87,1.1
55,0 days 00:56:01.168000,18.6,73.9,987.8,False,26.7,87,1.1
56,0 days 00:57:01.170000,18.6,72.6,987.9,False,26.6,99,1.8
57,0 days 00:58:01.171000,18.6,72.4,987.7,False,26.9,115,2.0
58,0 days 00:59:01.168000,18.6,72.4,987.7,False,26.9,115,2.0
59,0 days 01:00:01.167000,18.7,72.2,987.8,False,27.0,107,1.0
60,0 days 01:01:01.172000,18.7,72.2,987.8,False,27.0,107,1.0
61,0 days 01:02:01.185000,18.6,71.1,987.8,False,26.7,107,1.4
62,0 days 01:03:01.185000,18.6,71.1,987.8,False,26.7,107,1.4
63,0 days 01:04:01.202000,18.6,71.3,987.7,False,26.4,97,1.6
64,0 days 01:05:01.199000,18.6,71.3,987.7,False,26.4,97,1.6
65,0 days 01:06:01.188000,18.7,71.6,987.8,False,26.5,73,1.2
66,0 days 01:07:01.199000,18.7,71.0,987.9,False,26.5,116,1.8
67,0 days 01:08:01.201000,18.7,71.0,987.9,False,26.5,116,1.8
68,0 days 01:09:01.198000,18.8,69.8,987.9,False,26.4,90,1.8
69,0 days 01:10:01.199000,18.8,69.8,987.8,False,26.0,91,2.0
