,Meeting,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1226,,9197,Race,Race,2023-11-26 17:00:00,2023-11-26 19:00:00,0 days 04:00:00,2023/2023-11-26_Abu_Dhabi_Grand_Prix/2023-11-26_Race/
Name,Abu Dhabi Grand Prix,,9197,Race,Race,2023-11-26 17:00:00,2023-11-26 19:00:00,0 days 04:00:00,2023/2023-11-26_Abu_Dhabi_Grand_Prix/2023-11-26_Race/
OfficialName,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 ,,9197,Race,Race,2023-11-26 17:00:00,2023-11-26 19:00:00,0 days 04:00:00,2023/2023-11-26_Abu_Dhabi_Grand_Prix/2023-11-26_Race/
Location,Yas Island,,9197,Race,Race,2023-11-26 17:00:00,2023-11-26 19:00:00,0 days 04:00:00,2023/2023-11-26_Abu_Dhabi_Grand_Prix/2023-11-26_Race/
Country,"{'Key': 21, 'Code': 'UAE', 'Name': 'United Arab Emirates'}",,9197,Race,Race,2023-11-26 17:00:00,2023-11-26 19:00:00,0 days 04:00:00,2023/2023-11-26_Abu_Dhabi_Grand_Prix/2023-11-26_Race/
Circuit,"{'Key': 70, 'ShortName': 'Yas Marina Circuit'}",,9197,Race,Race,2023-11-26 17:00:00,2023-11-26 19:00:00,0 days 04:00:00,2023/2023-11-26_Abu_Dhabi_Grand_Prix/2023-11-26_Race/
Status,,Generating,9197,Race,Race,2023-11-26 17:00:00,2023-11-26 19:00:00,0 days 04:00:00,2023/2023-11-26_Abu_Dhabi_Grand_Prix/2023-11-26_Race/
