,11
RoundNumber,12
Country,Hungary
Location,Budapest
OfficialEventName,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018
EventDate,2018-07-29 00:00:00
EventName,Hungarian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-07-27 11:00:00+02:00
Session1DateUtc,2018-07-27 09:00:00
Session2,Practice 2
Session2Date,2018-07-27 15:00:00+02:00
Session2DateUtc,2018-07-27 13:00:00
Session3,Practice 3
Session3Date,2018-07-28 12:00:00+02:00
Session3DateUtc,2018-07-28 10:00:00
Session4,Qualifying
Session4Date,2018-07-28 15:00:00+02:00
Session4DateUtc,2018-07-28 13:00:00
Session5,Race
Session5Date,2018-07-29 15:10:00+02:00
Session5DateUtc,2018-07-29 13:10:00
F1ApiSupport,True
