,15
RoundNumber,15
Country,Russia
Location,Sochi
OfficialEventName,FORMULA 1 VTB RUSSIAN GRAND PRIX 2021
EventDate,2021-09-26 00:00:00
EventName,Russian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-09-24 11:30:00+03:00
Session1DateUtc,2021-09-24 08:30:00
Session2,Practice 2
Session2Date,2021-09-24 15:00:00+03:00
Session2DateUtc,2021-09-24 12:00:00
Session3,Practice 3
Session3Date,2021-09-25 12:00:00+03:00
Session3DateUtc,2021-09-25 09:00:00
Session4,Qualifying
Session4Date,2021-09-25 15:00:00+03:00
Session4DateUtc,2021-09-25 12:00:00
Session5,Race
Session5Date,2021-09-26 15:00:00+03:00
Session5DateUtc,2021-09-26 12:00:00
F1ApiSupport,True
