,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:16.913000,20.8,47.8,1016.0,False,36.9,309,0.7
1,0 days 00:01:16.926000,20.8,47.8,1016.0,False,36.9,309,0.7
2,0 days 00:02:16.939000,20.8,48.0,1016.0,False,36.9,79,0.6
3,0 days 00:03:16.952000,20.8,48.0,1016.0,False,36.9,79,0.6
4,0 days 00:04:16.965000,20.8,47.4,1016.0,False,37.6,153,0.8
5,0 days 00:05:16.978000,20.8,47.5,1016.0,False,37.5,192,0.5
6,0 days 00:06:16.991000,20.9,47.7,1016.0,False,37.2,0,0.7
7,0 days 00:07:17.004000,20.9,47.7,1016.0,False,37.2,0,0.7
8,0 days 00:08:17.017000,20.9,47.3,1015.9,False,36.6,278,0.7
9,0 days 00:09:17.155000,20.9,47.7,1015.9,False,36.6,224,1.0
10,0 days 00:10:17.043000,20.9,47.4,1015.9,False,36.3,318,1.4
11,0 days 00:11:17.056000,20.5,48.1,1015.9,False,35.9,18,0.9
12,0 days 00:12:17.069000,20.2,49.2,1015.9,False,35.5,0,0.0
13,0 days 00:13:17.083000,20.2,49.2,1015.9,False,35.5,0,0.0
14,0 days 00:14:17.096000,20.4,48.7,1015.9,False,35.5,0,0.6
15,0 days 00:15:17.109000,20.5,48.6,1015.9,False,35.5,0,0.4
16,0 days 00:16:17.138000,20.5,48.5,1015.9,False,35.5,159,0.3
17,0 days 00:17:17.151000,20.7,48.5,1016.0,False,35.2,14,0.0
18,0 days 00:18:17.164000,20.6,47.9,1015.9,False,35.2,209,1.1
19,0 days 00:19:17.177000,20.6,47.9,1015.9,False,35.2,209,1.1
20,0 days 00:20:17.190000,20.7,48.7,1015.8,False,35.4,95,1.8
21,0 days 00:21:17.203000,20.9,47.5,1015.8,False,35.3,95,2.2
22,0 days 00:22:17.216000,20.9,47.9,1015.9,False,35.2,88,1.8
23,0 days 00:23:17.229000,20.9,47.9,1015.9,False,35.2,88,1.8
24,0 days 00:24:17.242000,20.8,48.0,1015.9,False,34.9,105,2.0
25,0 days 00:25:17.504000,20.7,48.4,1015.9,False,34.9,85,1.6
26,0 days 00:26:17.268000,20.8,48.1,1015.9,False,34.9,59,1.1
27,0 days 00:27:17.281000,20.8,48.1,1015.9,False,34.9,59,1.1
28,0 days 00:28:17.294000,21.1,47.1,1016.0,False,35.1,88,0.7
29,0 days 00:29:17.307000,21.1,47.1,1016.0,False,35.1,88,0.7
30,0 days 00:30:17.336000,21.2,47.2,1015.9,False,34.6,305,0.4
31,0 days 00:31:17.348000,21.2,47.2,1015.9,False,34.6,305,0.4
32,0 days 00:32:17.362000,21.0,47.7,1015.9,False,34.2,244,0.4
33,0 days 00:33:17.375000,21.0,47.5,1015.9,False,34.3,262,0.5
34,0 days 00:34:17.388000,21.0,47.7,1015.9,False,34.0,289,0.8
35,0 days 00:35:17.401000,21.1,47.3,1015.9,False,34.0,0,0.9
36,0 days 00:36:17.414000,21.2,47.1,1015.8,False,34.7,270,1.8
37,0 days 00:37:17.505000,21.0,46.9,1015.7,False,34.2,275,2.6
38,0 days 00:38:17.440000,20.7,47.9,1015.9,False,33.9,283,2.6
39,0 days 00:39:17.453000,20.7,47.9,1015.9,False,33.9,283,2.6
40,0 days 00:40:17.466000,20.2,49.0,1015.8,False,33.2,278,2.6
41,0 days 00:41:17.480000,20.0,49.4,1015.8,False,32.9,268,2.5
42,0 days 00:42:17.508000,19.9,49.5,1015.8,False,32.9,282,2.4
43,0 days 00:43:17.506000,19.9,49.5,1015.8,False,32.9,282,2.4
44,0 days 00:44:17.519000,19.8,50.2,1015.8,False,32.7,275,2.3
45,0 days 00:45:17.532000,19.8,50.2,1015.8,False,32.7,275,2.3
46,0 days 00:46:17.545000,20.1,49.2,1015.7,False,33.2,274,2.4
47,0 days 00:47:17.573000,20.1,49.2,1015.7,False,33.2,274,2.4
48,0 days 00:48:17.586000,20.0,49.3,1015.7,False,32.8,295,1.7
49,0 days 00:49:17.599000,20.0,49.3,1015.7,False,32.8,295,1.7
50,0 days 00:50:17.612000,20.3,48.9,1015.7,False,33.3,279,0.7
51,0 days 00:51:17.625000,20.3,48.9,1015.7,False,33.3,279,0.7
52,0 days 00:52:17.638000,20.5,48.3,1015.6,False,33.3,266,1.0
53,0 days 00:53:17.651000,20.6,47.9,1015.5,False,33.2,258,1.2
54,0 days 00:54:17.664000,20.4,48.4,1015.6,False,32.8,284,1.1
55,0 days 00:55:17.677000,20.3,48.9,1015.6,False,32.6,259,1.5
56,0 days 00:56:17.690000,20.4,49.0,1015.7,False,32.7,297,0.9
57,0 days 00:57:17.719000,20.5,49.0,1015.6,False,33.0,78,1.3
58,0 days 00:58:17.716000,20.9,48.1,1015.6,False,33.1,84,2.1
59,0 days 00:59:17.729000,21.2,47.2,1015.5,False,33.4,280,1.5
60,0 days 01:00:17.758000,21.3,46.9,1015.5,False,33.4,246,0.6
61,0 days 01:01:17.896000,21.2,47.1,1015.5,False,32.2,269,0.5
62,0 days 01:02:17.784000,21.1,47.4,1015.5,False,32.2,329,0.8
63,0 days 01:03:17.797000,20.9,48.1,1015.6,False,32.0,239,1.0
64,0 days 01:04:17.811000,20.7,48.5,1015.7,False,32.0,260,0.9
65,0 days 01:05:17.824000,20.7,48.5,1015.7,False,32.0,260,0.9
66,0 days 01:06:17.837000,20.4,48.8,1015.6,False,31.7,283,2.0
67,0 days 01:07:17.850000,20.2,49.4,1015.6,False,31.5,266,1.8
68,0 days 01:08:17.863000,20.1,49.9,1015.6,False,31.4,309,2.1
69,0 days 01:09:17.876000,19.9,50.1,1015.5,False,31.4,280,2.2
70,0 days 01:10:17.889000,19.7,50.7,1015.6,False,31.4,266,1.2
71,0 days 01:11:17.902000,19.7,50.7,1015.6,False,31.4,266,1.2
72,0 days 01:12:17.915000,19.7,50.5,1015.6,False,31.3,302,1.5
73,0 days 01:13:17.928000,19.8,50.7,1015.7,False,31.3,185,0.7
74,0 days 01:14:17.941000,20.1,49.8,1015.7,False,31.6,247,0.3
75,0 days 01:15:17.954000,20.2,49.5,1015.7,False,31.7,96,0.4
76,0 days 01:16:17.967000,20.5,48.8,1015.7,False,31.8,106,1.0
77,0 days 01:17:17.980000,20.6,48.7,1015.6,False,32.0,95,1.8
78,0 days 01:18:18.008000,20.8,47.6,1015.6,False,32.0,87,2.0
