,9
RoundNumber,10
Country,Great Britain
Location,Silverstone
OfficialEventName,FORMULA 1 ROLEX BRITISH GRAND PRIX 2019
EventDate,2019-07-14 00:00:00
EventName,British Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-07-12 10:00:00+01:00
Session1DateUtc,2019-07-12 09:00:00
Session2,Practice 2
Session2Date,2019-07-12 14:00:00+01:00
Session2DateUtc,2019-07-12 13:00:00
Session3,Practice 3
Session3Date,2019-07-13 11:00:00+01:00
Session3DateUtc,2019-07-13 10:00:00
Session4,Qualifying
Session4Date,2019-07-13 14:00:00+01:00
Session4DateUtc,2019-07-13 13:00:00
Session5,Race
Session5Date,2019-07-14 14:10:00+01:00
Session5DateUtc,2019-07-14 13:10:00
F1ApiSupport,True
