,4
RoundNumber,4
Country,Bahrain
Location,Sakhir
OfficialEventName,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025
EventDate,2025-04-13 00:00:00
EventName,Bahrain Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-04-11 14:30:00+03:00
Session1DateUtc,2025-04-11 11:30:00
Session2,Practice 2
Session2Date,2025-04-11 18:00:00+03:00
Session2DateUtc,2025-04-11 15:00:00
Session3,Practice 3
Session3Date,2025-04-12 15:30:00+03:00
Session3DateUtc,2025-04-12 12:30:00
Session4,Qualifying
Session4Date,2025-04-12 19:00:00+03:00
Session4DateUtc,2025-04-12 16:00:00
Session5,Race
Session5Date,2025-04-13 18:00:00+03:00
Session5DateUtc,2025-04-13 15:00:00
F1ApiSupport,True
