,14
RoundNumber,14
Country,Italy
Location,Monza
OfficialEventName,FORMULA 1 HEINEKEN GRAN PREMIO D’ITALIA 2021
EventDate,2021-09-12 00:00:00
EventName,Italian Grand Prix
EventFormat,sprint
Session1,Practice 1
Session1Date,2021-09-10 14:30:00+02:00
Session1DateUtc,2021-09-10 12:30:00
Session2,Qualifying
Session2Date,2021-09-10 18:00:00+02:00
Session2DateUtc,2021-09-10 16:00:00
Session3,Practice 2
Session3Date,2021-09-11 12:00:00+02:00
Session3DateUtc,2021-09-11 10:00:00
Session4,Sprint
Session4Date,2021-09-11 16:30:00+02:00
Session4DateUtc,2021-09-11 14:30:00
Session5,Race
Session5Date,2021-09-12 15:00:00+02:00
Session5DateUtc,2021-09-12 13:00:00
F1ApiSupport,True
