,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2021-12-05 15:30:28,Other,AIR TEMPERATURE 2 HOURS BEFORE THE RACE =  29 DEGREES,,,,,,1
1,2021-12-05 16:50:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2,2021-12-05 17:00:00,Other,PIT EXIT CLOSED,,,,,,1
3,2021-12-05 17:03:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,1
4,2021-12-05 17:03:02,Other,DRS DISABLED IN ZONE 3,,,,,,1
5,2021-12-05 17:03:19,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,1
6,2021-12-05 17:03:20,Other,DRS ENABLED IN ZONE 3,,,,,,1
7,2021-12-05 17:15:08,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1
8,2021-12-05 17:22:20,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,1
9,2021-12-05 17:22:21,Other,DRS DISABLED IN ZONE 2,,,,,,1
10,2021-12-05 17:22:22,Other,DRS ENABLED IN ZONE 2,,,,,,1
11,2021-12-05 17:22:22,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,1
12,2021-12-05 17:27:07,Drs,DRS DISABLED,DISABLED,,,,,1
13,2021-12-05 17:33:45,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
14,2021-12-05 17:36:21,Other,TURN 7 INCIDENT INVOLVING CARS 18 (STR) AND 63 (RUS) NOTED,,,,,,2
15,2021-12-05 17:37:21,Drs,DRS ENABLED,ENABLED,,,,,3
16,2021-12-05 17:39:01,Other,TURN 7 INCIDENT INVOLVING CARS 18 (STR) AND 63 (RUS) NO INVESTIGATION NECESSARY,,,,,,4
17,2021-12-05 17:41:37,Other,START INCIDENT INVOLVING CARS 31 (OCO) AND 22 (TSU) NOTED,,,,,,6
18,2021-12-05 17:43:33,CarEvent,CAR 14 (ALO) MISSED THE APEX OF TURN 2,,,,,14,7
19,2021-12-05 17:44:56,Other,START INCIDENT INVOLVING CARS 31 (OCO) AND 22 (TSU) NO INVESTIGATION NECESSARY,,,,,,8
20,2021-12-05 17:48:06,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,10
21,2021-12-05 17:48:07,Other,DRS DISABLED IN ZONE 1,,,,,,10
22,2021-12-05 17:48:17,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,10
23,2021-12-05 17:57:00,Flag,RED FLAG,,RED,Track,,,13
24,2021-12-05 17:57:00,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,13
25,2021-12-05 18:04:59,Other,RACE WILL RESUME AT 21:15,,,,,,14
26,2021-12-05 18:06:28,Flag,TRACK CLEAR,,CLEAR,Track,,,14
27,2021-12-05 18:16:27,Other,SAFETY CAR WILL ENTER PITS: STANDING START,,,,,,14
28,2021-12-05 18:19:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,15
29,2021-12-05 18:20:07,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,15
30,2021-12-05 18:20:30,Flag,RED FLAG,,RED,Track,,,15
31,2021-12-05 18:20:30,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,15
32,2021-12-05 18:20:30,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,15
33,2021-12-05 18:29:17,Other,RACE WILL RESUME AT 21:40,,,,,,16
34,2021-12-05 18:32:41,Flag,TRACK CLEAR,,CLEAR,Track,,,16
35,2021-12-05 18:41:28,Other,SAFETY CAR WILL ENTER PITS: STANDING START,,,,,,16
36,2021-12-05 18:42:49,Other,TURN 3 INCIDENT NOTED,,,,,,16
37,2021-12-05 18:48:41,Other,TURN 3 INCIDENT WILL BE INVESTIGATED AFTER THE RACE,,,,,,19
38,2021-12-05 18:52:51,Drs,DRS ENABLED,ENABLED,,,,,22
39,2021-12-05 18:54:31,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,23
40,2021-12-05 18:54:32,Other,DRS DISABLED IN ZONE 3,,,,,,23
