,11
RoundNumber,11
Country,Hungary
Location,Budapest
OfficialEventName,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2021
EventDate,2021-08-01 00:00:00
EventName,Hungarian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-07-30 11:30:00+02:00
Session1DateUtc,2021-07-30 09:30:00
Session2,Practice 2
Session2Date,2021-07-30 15:00:00+02:00
Session2DateUtc,2021-07-30 13:00:00
Session3,Practice 3
Session3Date,2021-07-31 12:00:00+02:00
Session3DateUtc,2021-07-31 10:00:00
Session4,Qualifying
Session4Date,2021-07-31 15:00:00+02:00
Session4DateUtc,2021-07-31 13:00:00
Session5,Race
Session5Date,2021-08-01 15:00:00+02:00
Session5DateUtc,2021-08-01 13:00:00
F1ApiSupport,True
