,18
RoundNumber,19
Country,United States
Location,Austin
OfficialEventName,FORMULA 1 EMIRATES UNITED STATES GRAND PRIX 2019
EventDate,2019-11-03 00:00:00
EventName,United States Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-11-01 11:00:00-06:00
Session1DateUtc,2019-11-01 17:00:00
Session2,Practice 2
Session2Date,2019-11-01 15:00:00-06:00
Session2DateUtc,2019-11-01 21:00:00
Session3,Practice 3
Session3Date,2019-11-02 13:00:00-06:00
Session3DateUtc,2019-11-02 19:00:00
Session4,Qualifying
Session4Date,2019-11-02 16:00:00-06:00
Session4DateUtc,2019-11-02 22:00:00
Session5,Race
Session5Date,2019-11-03 13:10:00-06:00
Session5DateUtc,2019-11-03 19:10:00
F1ApiSupport,True
