,10
RoundNumber,9
Country,Canada
Location,Montréal
OfficialEventName,FORMULA 1 AWS GRAND PRIX DU CANADA 2022
EventDate,2022-06-19 00:00:00
EventName,Canadian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-06-17 14:00:00-04:00
Session1DateUtc,2022-06-17 18:00:00
Session2,Practice 2
Session2Date,2022-06-17 17:00:00-04:00
Session2DateUtc,2022-06-17 21:00:00
Session3,Practice 3
Session3Date,2022-06-18 13:00:00-04:00
Session3DateUtc,2022-06-18 17:00:00
Session4,Qualifying
Session4Date,2022-06-18 16:00:00-04:00
Session4DateUtc,2022-06-18 20:00:00
Session5,Race
Session5Date,2022-06-19 14:00:00-04:00
Session5DateUtc,2022-06-19 18:00:00
F1ApiSupport,True
