,11
RoundNumber,11
Country,Austria
Location,Spielberg
OfficialEventName,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025
EventDate,2025-06-29 00:00:00
EventName,Austrian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-06-27 13:30:00+02:00
Session1DateUtc,2025-06-27 11:30:00
Session2,Practice 2
Session2Date,2025-06-27 17:00:00+02:00
Session2DateUtc,2025-06-27 15:00:00
Session3,Practice 3
Session3Date,2025-06-28 12:30:00+02:00
Session3DateUtc,2025-06-28 10:30:00
Session4,Qualifying
Session4Date,2025-06-28 16:00:00+02:00
Session4DateUtc,2025-06-28 14:00:00
Session5,Race
Session5Date,2025-06-29 15:00:00+02:00
Session5DateUtc,2025-06-29 13:00:00
F1ApiSupport,True
