,4
RoundNumber,4
Country,Spain
Location,Barcelona
OfficialEventName,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2021
EventDate,2021-05-09 00:00:00
EventName,Spanish Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-05-07 11:30:00+02:00
Session1DateUtc,2021-05-07 09:30:00
Session2,Practice 2
Session2Date,2021-05-07 15:00:00+02:00
Session2DateUtc,2021-05-07 13:00:00
Session3,Practice 3
Session3Date,2021-05-08 12:00:00+02:00
Session3DateUtc,2021-05-08 10:00:00
Session4,Qualifying
Session4Date,2021-05-08 15:00:00+02:00
Session4DateUtc,2021-05-08 13:00:00
Session5,Race
Session5Date,2021-05-09 15:00:00+02:00
Session5DateUtc,2021-05-09 13:00:00
F1ApiSupport,True
