,2
RoundNumber,1
Country,Austria
Location,Spielberg
OfficialEventName,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2020
EventDate,2020-07-05 00:00:00
EventName,Austrian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2020-07-03 11:00:00+02:00
Session1DateUtc,2020-07-03 09:00:00
Session2,Practice 2
Session2Date,2020-07-03 15:00:00+02:00
Session2DateUtc,2020-07-03 13:00:00
Session3,Practice 3
Session3Date,2020-07-04 12:00:00+02:00
Session3DateUtc,2020-07-04 10:00:00
Session4,Qualifying
Session4Date,2020-07-04 15:00:00+02:00
Session4DateUtc,2020-07-04 13:00:00
Session5,Race
Session5Date,2020-07-05 15:10:00+02:00
Session5DateUtc,2020-07-05 13:10:00
F1ApiSupport,True
