,Time,Status
0,0 days 00:00:05.620000,Inactive
1,0 days 00:13:40.434000,Started
2,0 days 00:20:08.358000,Aborted
3,0 days 00:25:43.762000,Inactive
4,0 days 00:28:40.435000,Started
5,0 days 00:33:37.951000,Aborted
6,0 days 00:38:40.737000,Inactive
7,0 days 00:41:40.452000,Started
8,0 days 00:48:16.478000,Finished
9,0 days 00:48:19.347000,Aborted
10,0 days 00:59:53.196000,Inactive
11,0 days 01:01:40.447000,Started
12,0 days 01:04:46.766000,Aborted
13,0 days 01:08:40.840000,Inactive
14,0 days 01:11:40.444000,Started
15,0 days 01:23:34.488000,Finished
16,0 days 01:29:44.540000,Inactive
17,0 days 01:31:40.495000,Started
18,0 days 01:36:33.935000,Aborted
19,0 days 01:47:26.652000,Inactive
20,0 days 01:50:40.460000,Started
21,0 days 01:54:07.414000,Aborted
22,0 days 02:04:40.499000,Inactive
23,0 days 02:07:40.459000,Started
24,0 days 02:11:21.443000,Finished
25,0 days 02:15:10.326000,Finalised
26,0 days 02:22:48.056000,Ends
