,13
RoundNumber,14
Country,Italy
Location,Monza
OfficialEventName,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019
EventDate,2019-09-08 00:00:00
EventName,Italian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-09-06 11:00:00+02:00
Session1DateUtc,2019-09-06 09:00:00
Session2,Practice 2
Session2Date,2019-09-06 15:00:00+02:00
Session2DateUtc,2019-09-06 13:00:00
Session3,Practice 3
Session3Date,2019-09-07 12:00:00+02:00
Session3DateUtc,2019-09-07 10:00:00
Session4,Qualifying
Session4Date,2019-09-07 15:00:00+02:00
Session4DateUtc,2019-09-07 13:00:00
Session5,Race
Session5Date,2019-09-08 15:10:00+02:00
Session5DateUtc,2019-09-08 13:10:00
F1ApiSupport,True
