,9
RoundNumber,9
Country,Canada
Location,Montréal
OfficialEventName,FORMULA 1 AWS GRAND PRIX DU CANADA 2024
EventDate,2024-06-09 00:00:00
EventName,Canadian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-06-07 13:30:00-04:00
Session1DateUtc,2024-06-07 17:30:00
Session2,Practice 2
Session2Date,2024-06-07 17:00:00-04:00
Session2DateUtc,2024-06-07 21:00:00
Session3,Practice 3
Session3Date,2024-06-08 12:30:00-04:00
Session3DateUtc,2024-06-08 16:30:00
Session4,Qualifying
Session4Date,2024-06-08 16:00:00-04:00
Session4DateUtc,2024-06-08 20:00:00
Session5,Race
Session5Date,2024-06-09 14:00:00-04:00
Session5DateUtc,2024-06-09 18:00:00
F1ApiSupport,True
