,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
78,0 days 01:18:40.480000,19.0,62.0,1020.0,False,30.6,211,3.9
79,0 days 01:19:40.487000,19.0,62.0,1019.9,False,30.7,213,4.0
80,0 days 01:20:40.500000,19.0,60.0,1020.0,False,31.2,199,4.6
81,0 days 01:21:40.507000,19.2,60.0,1019.9,False,31.3,223,4.8
82,0 days 01:22:40.505000,19.2,61.0,1020.0,False,31.5,226,4.1
83,0 days 01:23:40.492000,19.1,61.0,1020.1,False,31.7,218,4.5
84,0 days 01:24:40.499000,19.3,60.0,1020.0,False,31.6,214,4.6
85,0 days 01:25:40.493000,19.4,59.0,1020.0,False,31.6,227,4.5
86,0 days 01:26:40.499000,19.4,58.0,1020.0,False,31.7,218,4.1
87,0 days 01:27:40.506000,19.4,58.0,1020.0,False,31.5,234,6.2
88,0 days 01:28:40.491000,19.4,60.0,1020.0,False,31.3,224,5.5
89,0 days 01:29:40.509000,19.4,59.0,1020.0,False,31.6,228,5.5
90,0 days 01:30:40.492000,19.4,59.0,1020.0,False,31.6,226,4.5
91,0 days 01:31:40.515000,19.4,60.0,1020.0,False,31.9,208,3.8
92,0 days 01:32:40.500000,19.4,60.0,1020.1,False,32.0,205,4.4
93,0 days 01:33:40.508000,19.4,59.0,1020.0,False,32.1,218,4.4
94,0 days 01:34:40.509000,19.3,59.0,1020.0,False,32.0,209,4.3
95,0 days 01:35:40.500000,19.3,60.0,1020.0,False,32.0,216,4.2
96,0 days 01:36:40.510000,19.3,61.0,1020.0,False,31.8,231,4.7
97,0 days 01:37:40.525000,19.3,60.0,1020.1,False,31.9,229,5.9
98,0 days 01:38:40.524000,19.4,60.0,1020.0,False,32.0,206,4.8
99,0 days 01:39:40.544000,19.4,60.0,1020.0,False,32.0,206,4.6
100,0 days 01:40:40.589000,19.5,59.0,1020.1,False,32.0,212,6.0
101,0 days 01:41:40.543000,19.5,59.0,1020.0,False,32.0,215,5.2
102,0 days 01:42:40.557000,19.4,58.0,1020.0,False,32.0,216,5.6
103,0 days 01:43:40.559000,19.3,58.0,1020.0,False,32.1,215,5.4
104,0 days 01:44:40.553000,19.3,56.0,1020.0,False,31.9,221,4.6
105,0 days 01:45:40.552000,19.4,57.0,1020.0,False,31.9,225,4.4
106,0 days 01:46:40.567000,19.4,57.0,1020.1,False,31.9,216,4.8
107,0 days 01:47:40.735000,19.4,58.0,1020.0,False,32.1,226,4.5
108,0 days 01:48:40.704000,19.5,59.0,1020.0,False,32.1,215,4.2
109,0 days 01:49:40.729000,19.5,58.0,1020.0,False,31.8,207,3.7
110,0 days 01:50:40.741000,19.5,58.0,1019.9,False,31.6,216,4.6
111,0 days 01:51:40.743000,19.4,57.0,1019.9,False,31.6,221,4.4
112,0 days 01:52:40.733000,19.3,58.0,1019.9,False,31.7,225,3.8
113,0 days 01:53:40.739000,19.3,57.0,1019.9,False,31.8,209,4.9
114,0 days 01:54:40.735000,19.4,57.0,1020.0,False,31.8,216,4.6
115,0 days 01:55:40.740000,19.3,56.0,1019.9,False,32.1,221,4.4
116,0 days 01:56:40.734000,19.3,56.0,1020.0,False,32.1,204,4.7
117,0 days 01:57:40.774000,19.3,57.0,1020.0,False,32.0,209,4.1
118,0 days 01:58:40.728000,19.2,57.0,1019.9,False,32.3,217,3.8
119,0 days 01:59:40.744000,19.2,58.0,1019.9,False,32.3,206,4.6
120,0 days 02:00:40.732000,19.2,59.0,1019.9,False,32.1,209,4.6
121,0 days 02:01:40.741000,19.3,56.0,1019.9,False,32.3,205,4.5
122,0 days 02:02:40.746000,19.3,55.0,1020.0,False,32.3,210,5.2
123,0 days 02:03:40.782000,19.3,56.0,1019.9,False,32.3,224,4.9
124,0 days 02:04:40.760000,19.3,57.0,1020.0,False,32.4,210,5.1
