,Time,Status
0,0 days 00:00:07.915000,Inactive
1,0 days 00:57:35.434000,Started
2,0 days 02:28:21.209000,Finished
3,0 days 02:32:46.284000,Finalised
4,0 days 02:32:46.579000,Ends
