,15
RoundNumber,15
Country,Netherlands
Location,Zandvoort
OfficialEventName,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024
EventDate,2024-08-25 00:00:00
EventName,Dutch Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-08-23 12:30:00+02:00
Session1DateUtc,2024-08-23 10:30:00
Session2,Practice 2
Session2Date,2024-08-23 16:00:00+02:00
Session2DateUtc,2024-08-23 14:00:00
Session3,Practice 3
Session3Date,2024-08-24 11:30:00+02:00
Session3DateUtc,2024-08-24 09:30:00
Session4,Qualifying
Session4Date,2024-08-24 15:00:00+02:00
Session4DateUtc,2024-08-24 13:00:00
Session5,Race
Session5Date,2024-08-25 15:00:00+02:00
Session5DateUtc,2024-08-25 13:00:00
F1ApiSupport,True
