,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2018-07-21 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
1,2018-07-21 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2,2018-07-21 13:19:00,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
3,2018-07-21 13:19:16,CarEvent,CAR 44 (HAM) STOPPED AT TURN 10,,,,,44,
4,2018-07-21 13:20:46,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
5,2018-07-21 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
6,2018-07-21 13:31:09,CarEvent,CAR 9 (ERI) OFF TRACK AND CONTINUED AT TURN 13,,,,,9,
7,2018-07-21 13:33:05,Flag,RED FLAG,,RED,Track,,,
8,2018-07-21 13:39:38,Other,SESSION WILL RE-START AT 15:42,,,,,,
9,2018-07-21 13:41:01,Flag,TRACK CLEAR,,CLEAR,Track,,,
10,2018-07-21 13:41:02,Drs,DRS ENABLED,ENABLED,,,,,
11,2018-07-21 13:42:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
12,2018-07-21 13:48:57,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
13,2018-07-21 13:51:30,Other,Q3 WILL START AT 15:57,,,,,,
14,2018-07-21 13:57:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
15,2018-07-21 14:09:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
