,10
RoundNumber,11
Country,Germany
Location,Hockenheim
OfficialEventName,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018
EventDate,2018-07-22 00:00:00
EventName,German Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-07-20 11:00:00+02:00
Session1DateUtc,2018-07-20 09:00:00
Session2,Practice 2
Session2Date,2018-07-20 15:00:00+02:00
Session2DateUtc,2018-07-20 13:00:00
Session3,Practice 3
Session3Date,2018-07-21 12:00:00+02:00
Session3DateUtc,2018-07-21 10:00:00
Session4,Qualifying
Session4Date,2018-07-21 15:00:00+02:00
Session4DateUtc,2018-07-21 13:00:00
Session5,Race
Session5Date,2018-07-22 15:10:00+02:00
Session5DateUtc,2018-07-22 13:10:00
F1ApiSupport,True
