,8
RoundNumber,8
Country,Austria
Location,Spielberg
OfficialEventName,FORMULA 1 BWT GROSSER PREIS DER STEIERMARK 2021
EventDate,2021-06-27 00:00:00
EventName,Styrian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-06-25 11:30:00+02:00
Session1DateUtc,2021-06-25 09:30:00
Session2,Practice 2
Session2Date,2021-06-25 15:00:00+02:00
Session2DateUtc,2021-06-25 13:00:00
Session3,Practice 3
Session3Date,2021-06-26 12:00:00+02:00
Session3DateUtc,2021-06-26 10:00:00
Session4,Qualifying
Session4Date,2021-06-26 15:00:00+02:00
Session4DateUtc,2021-06-26 13:00:00
Session5,Race
Session5Date,2021-06-27 15:00:00+02:00
Session5DateUtc,2021-06-27 13:00:00
F1ApiSupport,True
