,Meeting,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1046,,5756,Qualifying,Qualifying,2020-07-11 15:00:00,2020-07-11 16:00:00,0 days 02:00:00,2020/2020-07-12_Styrian_Grand_Prix/2020-07-11_Qualifying/
Name,Styrian Grand Prix,,5756,Qualifying,Qualifying,2020-07-11 15:00:00,2020-07-11 16:00:00,0 days 02:00:00,2020/2020-07-12_Styrian_Grand_Prix/2020-07-11_Qualifying/
Location,Spielberg,,5756,Qualifying,Qualifying,2020-07-11 15:00:00,2020-07-11 16:00:00,0 days 02:00:00,2020/2020-07-12_Styrian_Grand_Prix/2020-07-11_Qualifying/
Country,"{'Key': 17, 'Code': 'AUT', 'Name': 'Austria'}",,5756,Qualifying,Qualifying,2020-07-11 15:00:00,2020-07-11 16:00:00,0 days 02:00:00,2020/2020-07-12_Styrian_Grand_Prix/2020-07-11_Qualifying/
Circuit,"{'Key': 19, 'ShortName': 'Spielberg'}",,5756,Qualifying,Qualifying,2020-07-11 15:00:00,2020-07-11 16:00:00,0 days 02:00:00,2020/2020-07-12_Styrian_Grand_Prix/2020-07-11_Qualifying/
Status,,Generating,5756,Qualifying,Qualifying,2020-07-11 15:00:00,2020-07-11 16:00:00,0 days 02:00:00,2020/2020-07-12_Styrian_Grand_Prix/2020-07-11_Qualifying/
