,Time,Status
0,0 days 00:00:05.482000,Inactive
1,0 days 01:02:05.478000,Started
2,0 days 02:36:04.051000,Finished
3,0 days 02:42:24.341000,Finalised
4,0 days 02:42:24.341000,Ends
