,18
RoundNumber,18
Country,Mexico
Location,Mexico City
OfficialEventName,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2021
EventDate,2021-11-07 00:00:00
EventName,Mexico City Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-11-05 11:30:00-06:00
Session1DateUtc,2021-11-05 17:30:00
Session2,Practice 2
Session2Date,2021-11-05 15:00:00-06:00
Session2DateUtc,2021-11-05 21:00:00
Session3,Practice 3
Session3Date,2021-11-06 11:00:00-06:00
Session3DateUtc,2021-11-06 17:00:00
Session4,Qualifying
Session4Date,2021-11-06 14:00:00-06:00
Session4DateUtc,2021-11-06 20:00:00
Session5,Race
Session5Date,2021-11-07 13:00:00-06:00
Session5DateUtc,2021-11-07 19:00:00
F1ApiSupport,True
