,20
RoundNumber,21
Country,United Arab Emirates
Location,Yas Marina
OfficialEventName,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX
EventDate,2018-11-25 00:00:00
EventName,Abu Dhabi Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-11-23 13:00:00+04:00
Session1DateUtc,2018-11-23 09:00:00
Session2,Practice 2
Session2Date,2018-11-23 17:00:00+04:00
Session2DateUtc,2018-11-23 13:00:00
Session3,Practice 3
Session3Date,2018-11-24 14:00:00+04:00
Session3DateUtc,2018-11-24 10:00:00
Session4,Qualifying
Session4Date,2018-11-24 17:00:00+04:00
Session4DateUtc,2018-11-24 13:00:00
Session5,Race
Session5Date,2018-11-25 17:10:00+04:00
Session5DateUtc,2018-11-25 13:10:00
F1ApiSupport,True
