,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2022-04-09 05:45:32,Other,DRS ENABLED IN ZONE 1,,,,,,
1,2022-04-09 05:47:05,Other,DRS ENABLED IN ZONE 3,,,,,,
2,2022-04-09 06:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
3,2022-04-09 06:03:46,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
4,2022-04-09 06:03:47,Other,DRS DISABLED IN ZONE 1,,,,,,
5,2022-04-09 06:03:50,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
6,2022-04-09 06:03:50,Other,DRS ENABLED IN ZONE 1,,,,,,
7,2022-04-09 06:05:26,CarEvent,CAR 6 (LAT) SPUN AND CONTINUED AT TURN 11,,,,,6,
8,2022-04-09 06:06:34,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
9,2022-04-09 06:06:35,Other,DRS DISABLED IN ZONE 1,,,,,,
10,2022-04-09 06:06:38,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
11,2022-04-09 06:06:38,Other,DRS ENABLED IN ZONE 1,,,,,,
12,2022-04-09 06:06:58,CarEvent,CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 11,,,,,22,
13,2022-04-09 06:08:25,Other,CORRECTION CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 10,,,,,,
14,2022-04-09 06:12:28,Other,TURN 1 INCIDENT INVOLVING CARS 22 (TSU) AND 44 (HAM) NOTED ,,,,,,
15,2022-04-09 06:14:00,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 22 (TSU) AND 44 (HAM) REVIEWED NO FURTHER INVESTIGATION ,,,,,,
16,2022-04-09 06:14:56,Other,PIT LANE INCIDENT INVOLVING CAR 10 (GAS) NOTED - UNSAFE RELEASE,,,,,,
17,2022-04-09 06:16:00,Flag,RED FLAG,,RED,Track,,,
18,2022-04-09 06:17:30,Other,TURN 5 INCIDENT INVOLVING CARS 6 (LAT) AND 18 (STR) NOTED - CAUSING A COLLISION,,,,,,
19,2022-04-09 06:17:39,Other,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 6 (LAT) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - CAUSING A COLLISION,,,,,,
20,2022-04-09 06:25:41,Other,SESSION WILL RESUME AT 16:31,,,,,,
21,2022-04-09 06:29:03,Flag,TRACK CLEAR,,CLEAR,Track,,,
22,2022-04-09 06:29:06,Drs,DRS ENABLED,ENABLED,,,,,
23,2022-04-09 06:31:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
24,2022-04-09 06:33:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
25,2022-04-09 06:33:26,Other,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM),,,,,,
26,2022-04-09 06:35:29,Other,Q2 WILL START AT 16:40,,,,,,
27,2022-04-09 06:35:55,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
28,2022-04-09 06:37:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
29,2022-04-09 06:37:21,Other,START OF Q2 WILL BE DELAYED,,,,,,
30,2022-04-09 06:38:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
31,2022-04-09 06:38:56,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
32,2022-04-09 06:39:33,Other,Q2 WILL START AT 16:44,,,,,,
33,2022-04-09 06:39:48,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
34,2022-04-09 06:44:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
35,2022-04-09 06:46:49,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
36,2022-04-09 06:46:50,Other,DRS DISABLED IN ZONE 1,,,,,,
37,2022-04-09 06:47:00,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
38,2022-04-09 06:47:00,Other,DRS ENABLED IN ZONE 1,,,,,,
39,2022-04-09 06:47:02,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 10 (GAS) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE,,,,,,
40,2022-04-09 06:47:15,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 11,,,,,63,
41,2022-04-09 06:48:18,Other,TURN 11 INCIDENT INVOLVING CAR 11 (PER) NOTED - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,,
42,2022-04-09 06:54:29,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CAR 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,,
43,2022-04-09 06:56:29,CarEvent,CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 11,,,,,22,
44,2022-04-09 06:57:42,Other,CAR 22 (TSU) TIME 1:37.188 DELETED - TRACK LIMITS AT TURN 11 LAP 15 16:55:35,,,,,,
45,2022-04-09 06:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
46,2022-04-09 06:59:27,Other,FIRST CAR TO TAKE THE FLAG - CAR 77 (BOT),,,,,,
47,2022-04-09 07:01:19,Other,Q3 WILL START AT 17:07,,,,,,
48,2022-04-09 07:02:18,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
49,2022-04-09 07:02:19,Other,DRS DISABLED IN ZONE 1,,,,,,
50,2022-04-09 07:02:22,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
51,2022-04-09 07:02:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
52,2022-04-09 07:02:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
53,2022-04-09 07:02:43,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
54,2022-04-09 07:02:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,
55,2022-04-09 07:02:49,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
56,2022-04-09 07:02:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
57,2022-04-09 07:02:55,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
58,2022-04-09 07:02:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
59,2022-04-09 07:03:18,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
60,2022-04-09 07:03:21,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
61,2022-04-09 07:03:22,Other,DRS DISABLED IN ZONE 3,,,,,,
62,2022-04-09 07:03:31,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
63,2022-04-09 07:03:31,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
64,2022-04-09 07:03:33,Other,DRS DISABLED IN ZONE 2,,,,,,
65,2022-04-09 07:03:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
66,2022-04-09 07:03:40,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
67,2022-04-09 07:03:52,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
68,2022-04-09 07:03:53,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
69,2022-04-09 07:03:59,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
70,2022-04-09 07:04:02,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
71,2022-04-09 07:04:15,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
72,2022-04-09 07:04:18,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
73,2022-04-09 07:04:18,Other,DRS ENABLED IN ZONE 3,,,,,,
74,2022-04-09 07:04:24,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
75,2022-04-09 07:04:30,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
76,2022-04-09 07:04:37,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
77,2022-04-09 07:04:37,Other,DRS ENABLED IN ZONE 2,,,,,,
78,2022-04-09 07:04:53,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
79,2022-04-09 07:05:01,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
80,2022-04-09 07:05:15,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
81,2022-04-09 07:05:29,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
82,2022-04-09 07:05:29,Other,DRS ENABLED IN ZONE 1,,,,,,
83,2022-04-09 07:05:36,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
84,2022-04-09 07:06:43,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
85,2022-04-09 07:07:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
86,2022-04-09 07:11:57,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
87,2022-04-09 07:11:58,Other,DRS DISABLED IN ZONE 1,,,,,,
88,2022-04-09 07:12:03,Flag,RED FLAG,,RED,Track,,,
89,2022-04-09 07:12:03,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
90,2022-04-09 07:18:35,Other,SESSION WILL RESUME AT 17:25,,,,,,
91,2022-04-09 07:20:55,Flag,TRACK CLEAR,,CLEAR,Track,,,
92,2022-04-09 07:20:57,Drs,DRS ENABLED,ENABLED,,,,,
93,2022-04-09 07:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
94,2022-04-09 07:31:56,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 6,,,,,55,
95,2022-04-09 07:31:58,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
96,2022-04-09 07:32:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,,
97,2022-04-09 07:40:20,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
98,2022-04-09 07:41:33,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
