,4
RoundNumber,3
Country,Australia
Location,Melbourne
OfficialEventName,FORMULA 1 HEINEKEN AUSTRALIAN GRAND PRIX 2022
EventDate,2022-04-10 00:00:00
EventName,Australian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-04-08 13:00:00+10:00
Session1DateUtc,2022-04-08 03:00:00
Session2,Practice 2
Session2Date,2022-04-08 16:00:00+10:00
Session2DateUtc,2022-04-08 06:00:00
Session3,Practice 3
Session3Date,2022-04-09 13:00:00+10:00
Session3DateUtc,2022-04-09 03:00:00
Session4,Qualifying
Session4Date,2022-04-09 16:00:00+10:00
Session4DateUtc,2022-04-09 06:00:00
Session5,Race
Session5Date,2022-04-10 15:00:00+10:00
Session5DateUtc,2022-04-10 05:00:00
F1ApiSupport,True
