,Time,Status
0,0 days 00:00:03.733000,Inactive
1,0 days 00:15:00.404000,Started
2,0 days 00:30:59.775000,Aborted
3,0 days 00:43:01.590000,Inactive
4,0 days 00:46:00.412000,Started
5,0 days 00:48:01.402000,Finished
6,0 days 00:56:05.788000,Inactive
7,0 days 00:59:00.398000,Started
8,0 days 01:14:00.412000,Finished
9,0 days 01:20:07.352000,Inactive
10,0 days 01:22:00.406000,Started
11,0 days 01:27:02.959000,Aborted
12,0 days 01:37:02.090000,Inactive
13,0 days 01:40:00.412000,Started
14,0 days 01:46:58.411000,Finished
15,0 days 01:51:18.695000,Finalised
16,0 days 01:56:33.477000,Ends
